dataset,undersample,as_cv_step,fs_method,incl_filtered,estimator,feat_range,src,st,kappa,roc_auc
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_3,ncv_diff,-0.2604854812688943,-0.2122222222222221
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_3,ncv_val,0.2007722007722007,0.5833333333333334
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_3,std,0.1587418680475687,0.1212121212121212
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_3,test,0.2033898305084744,0.7018181818181819
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_4,diff,-0.1705714810000068,-0.0557575757575756
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_4,mean,0.3739613115084813,0.7575757575757576
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_4,ncv_diff,0.22681664613823,0.1978226711560045
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_4,ncv_val,0.555984555984556,0.9242424242424242
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_4,std,0.1928958098634665,0.1212121212121212
abus,False,False,boruta_lightgbm,False,lr,3-15-1,ncv_4,test,0.2033898305084744,0.7018181818181819
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,flat,diff,-0.2612100979255158,-0.0172474747474746
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,flat,mean,0.5085410587796084,0.7190656565656566
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,flat,std,0.2256878344003866,0.1346592536948444
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,flat,test,0.2473309608540925,0.7018181818181819
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_0,diff,-0.2612100979255158,-0.0021717171717172
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_0,mean,0.5085410587796084,0.7239898989898991
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_0,ncv_diff,0.0857053682896378,0.0529629629629629
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_0,ncv_val,0.5833333333333333,0.6944444444444445
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_0,std,0.2256878344003866,0.1488121692886541
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_0,test,0.2473309608540925,0.7218181818181818
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_1,diff,-0.2842435136746098,-0.052979797979798
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_1,mean,0.4918743921129417,0.7002525252525252
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_1,ncv_diff,-0.2774541364922117,-0.177418630751964
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_1,ncv_val,0.2977099236641222,0.5606060606060606
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_1,std,0.221827732062863,0.1360874494528491
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_1,test,0.2076308784383318,0.6472727272727272
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_2,diff,-0.227203937095425,-0.0557575757575756
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_2,mean,0.4745348979495176,0.7575757575757576
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_2,ncv_diff,0.0498922490080282,0.0203030303030302
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_2,ncv_val,0.555984555984556,0.7803030303030303
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_2,std,0.2446244755654331,0.1212121212121212
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_2,test,0.2473309608540925,0.7018181818181819
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_3,diff,-0.227203937095425,-0.0557575757575756
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_3,mean,0.4745348979495176,0.7575757575757576
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_3,ncv_diff,-0.3514953698835186,-0.2122222222222221
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_3,ncv_val,0.1945525291828794,0.5833333333333334
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_3,std,0.2446244755654331,0.1212121212121212
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_3,test,0.2473309608540925,0.7018181818181819
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_4,diff,-0.2093020450556019,-0.0248989898989899
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_4,mean,0.4566330059096944,0.7194444444444444
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_4,ncv_diff,0.4103335598558173,0.2822671156004489
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_4,ncv_val,0.8244274809160306,0.9242424242424242
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_4,std,0.250334493244126,0.131435694550061
abus,False,False,boruta_lightgbm,False,mlp,3-15-1,ncv_4,test,0.2473309608540925,0.6945454545454545
abus,False,False,boruta_lightgbm,False,nb,3-15-1,flat,diff,-0.2623244390107871,-0.0739646464646465
abus,False,False,boruta_lightgbm,False,nb,3-15-1,flat,mean,0.5096553998648797,0.7521464646464647
abus,False,False,boruta_lightgbm,False,nb,3-15-1,flat,std,0.2242944670825066,0.1232432542966121
abus,False,False,boruta_lightgbm,False,nb,3-15-1,flat,test,0.2473309608540925,0.6781818181818182
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_0,diff,-0.2456577723441204,-0.1062121212121213
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_0,mean,0.4929887331982129,0.7462121212121213
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_0,ncv_diff,0.0023720349563046,-0.0370987654320988
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_0,ncv_val,0.5,0.7083333333333333
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_0,std,0.220515266950376,0.122507285066638
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_0,test,0.2473309608540925,0.64
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_1,diff,-0.2456577723441204,-0.0886363636363637
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_1,mean,0.4929887331982129,0.7522727272727273
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_1,ncv_diff,-0.2564801105181858,-0.0055555555555556
abus,False,False,boruta_lightgbm,False,nb,3-15-1,ncv_1,ncv_val,0.2977099236641222,0.75
